Product,Purchases,"Weight (g)","Average Delivery Time (Days)","Size (cm3)"
00088930e925c41fd95ebfe695fd2655,1,1225,11,14300
0009406fd7479715e4bef61dd91f2462,1,300,15,23625
000b8f95fcb9e0096488278317764d19,2,550,7,5472
000d9be29b5207b54e86aa1b1ac54872,1,250,7,3630
00126f27c813603687e6ce486d909d01,2,700,13,1875
001b237c0e9bb435f2e54071129237e9,1,6000,7,4800
00210e41887c2a8ef9f791ebc780cc36,7,300,5,6750
002159fe700ed3521f46cfcf6e941c76,7,1850,21,21312
00250175f79f584c14ab5cecd80553cd,11,750,8,5250
002552c0663708129c0019cc97552d7d,1,355,8,4224
002959d7a0b0990fe2d69988affcbc80,1,2600,16,22050
002d4ea7c04739c130bb74d7e7cd1694,1,200,27,2420
0030e635639c898b323826589761cf23,2,1550,14,3120
003938452c98ff9ab28e9e7b4bfe97ab,1,5050,3,20000
003962cb74a8b43cf1034fed541a76f0,1,1000,13,26496
003a31970fea14fffe92ac856b8a9b97,3,1850,18,24300
003dbcabcf8e3231de657c7d9f9a5eba,2,1800,11,14520
004154251837f6ac124ad4374b3a8148,1,150,8,1750
0042f1a9a7e0edd1400c6cd0fda065f8,1,175,4,3289
0043c62d00db47eff6a6bc4cf6bfaeda,1,380,14,3024
0044d70d4e53450c0fbb8255446a797b,1,200,13,6480
004636c889c7c3dad6631f136b7fa082,4,550,4,7500
004ffcbfa5aac82212a95bc972ea8a85,1,10000,15,79625
005c6b24cc96dca3e2c01e824401030e,1,400,11,2380
00636f9286f69c9f1bdabe76e670fb50,2,500,15,850
006508eabcc19ae52ed87323124ad0e9,1,246,6,6270
006619bbed68b000c8ba3f8725d5409e,1,150,7,1680
006c67546bfe73c33b83f6bd1ad58c36,1,4550,15,20539
00716e5593e8eea55dbe7a29b72a70bc,1,250,19,8000
00738f5a17ec4450e88915357b085c1e,1,600,9,5610
0075c14603d80515e20908c156ceb47b,2,150,9,4608
007c63ae4b346920756b5adcad8095de,6,2800,12,27000
0081787b18cce4acc2d1adec4520d7ba,1,1340,11,12096
0085dddda27567189f1dfd1eda7c286e,1,1800,12,9600
008686d56f4c85b987a4c24a286834c1,1,2200,28,11840
008b51e6be49ee039854b5e35c331b02,1,633,25,3876
008cff0e5792219fae03e570f980b330,22,1550,12,16000
00917855135d67fb060dcd81863166a4,1,1133,12,2816
0091d85023824de2d33252310c952307,2,450,9,4224
0092a9e1c8a471753ed7ffa7eef5086e,3,350,9,4096
00989337a1916a0055eedd1fdb35eb53,2,800,16,2200
009c09f439988bc06a93d6b8186dce73,1,150,9,8000
00aa70fd749f3b9ce8ca4bc914a9e7b1,2,700,22,4096
00b264091d1c8df03976c3f3b176b35c,1,250,8,4096
00b4155166f994ba9da3cf001eb80505,1,1125,4,9660
00b782074a5ec523bf31951b4935d572,1,250,12,880
00ba6d766f0b1d7b78a5ce3e1e033263,16,7850,8,48608
00baba5b58e274d0332a0c8a0a66f877,11,200,14,1512
00bb62ea3729537a687c3fddcd123662,2,12100,8,72000
00bc6e6d4ceb98ec7ed058b0a243a8b9,1,200,14,1936
00be617b58175bf207fd35910d5097a4,5,900,15,23625
00c3e35b00dd00ab864d4a94c1b97e66,2,512,6,6480
00c407e056c74eb8040a1233ca6da16f,1,650,15,14700
00c744ca2f3b0e76ce227b146095d3f9,1,350,6,4335
00d2add85b1f5aba6bb3d5d977314e25,2,9050,23,40768
00d2fa6f2a87633084c8e0400d41a65a,1,18550,5,85050
00d363b8c14bb9a6c73febc4c42acf47,1,200,9,2816
00d51a45854ebce28acda79f414388ee,1,225,1,896
00d62d0388b0786d730a1aaed91c0ae0,1,300,14,9600
00d93a09990b319a7c946ed7a8c67656,1,3400,19,17472
00dc8a1b2de45a7fca5921544e5f351d,1,1550,9,12138
00de606a5dda99c2499f94ef18282977,1,1650,9,15840
00e2784f846618842151d40ec730ece0,1,800,7,24276
00e32638060f6356e6f00749dc466b5c,7,7050,16,42000
00e41fb1706dc56cc3bbdd2c1d6df362,1,500,10,24000
00e437f5e55fc5a62e4ef2f84f41b5fb,1,550,14,6000
00e62bcf9337ca4c5d5b4c5c8188f8d2,1,700,7,4059
00e928700d549c4173b1bf631ca30abf,1,300,35,900
00efb9a8ce0cf3b2f37892ab003edc10,1,2217,32,80605
00f179926ae5965cd6ff548d765d8a61,3,133,17,1224
00f42e56821b1779fbf397fe72639054,2,750,7,25000
00f8c37377b038c9c791128d2f928111,1,100,39,4845
00faa46f36261af8bbf3a4d37fa4841b,10,100,14,2646
00fefaf41156bb4b0d850fb27da97897,5,100,5,6480
00ffe57f0110d73fd84d162252b2c784,1,16000,9,352
0103208eb1ea5a1a7359c0251a65e37a,1,1600,7,20825
010951987d78f9d52fbf50a43b690ba1,3,1100,17,16000
010c38887e6a41a5acfea2687515b254,3,1400,19,3000
010c79af51e82f60de174b6da6060c0a,2,192,7,3840
0110573bc9195aa810a4384f189f48f5,4,3900,11,29799
0110986ff84d644fee920efb18577292,1,2900,8,12672
0112c32bab2fb9a2147b92cdd5f1d3e7,1,800,20,14850
0116f3b947377cccf0135f8071b54d74,1,1050,3,16000
01175f0c6182b4410c669417d7e8268f,1,600,8,12348
011967a30ceeaa86acb72e79664544ad,2,4100,16,21420
011ae9863bd5b15e528a16dd8ceb4772,7,1575,13,19380
011bb8a6af5178b33871a83c4f297d32,1,600,15,4212
011be89e68e286ac07f51c22ecbb04aa,2,450,15,10500
011c2759ca1a29c74ecd8bfa48d0ac14,1,450,10,4000
01217a683550744160a91eaa46a92305,5,1300,15,8000
0127db1f4effcf8f5b88d80588bc5624,2,200,12,2100
0129d1e9b29d3fe6833cc922374cd252,7,100,8,900
0130c4375ccbe30dbfa676abd076a056,2,1038,11,18720
013298e0648d412de0d65690045493bc,1,350,5,4624
0134eb6b933b7ebc0f9e24ae5abefaa0,1,1150,5,48070
0138b665025e0b24bfa6206d97b0f117,1,1000,6,7744
013c4b7963865454407e0c79047636c3,1,1075,10,9500
013cc658e88b36989b48b2bd5f7add59,1,1050,14,18750
013e6676e0e3529e5909ff54370daddf,8,1088,14,9900
013ee64977aaa6b2b25475095162e0e9,14,1350,10,24750
0141015d2469c1c5f9d7d377d1cdb44a,1,17800,12,25200
0141f5b2fc5389a8b247ae23b58482ef,1,240,10,2112
01422266d7a3131403364787ef9dab11,2,450,15,4800
0142fd5bd2e0923cf2dbc73d471dda34,1,1400,18,8712
014d94f219fbff1166b9cf700eee36b2,1,400,2,2592
0152f69b6cf919bcdaf117aa8c43e5a2,61,250,14,4800
01545847403c0f1e69d76654d66be35c,3,450,6,5776
015dfd6612249811b2e147c1f3be048f,1,300,9,5236
015e04445dedbd5da301ef29cbb03f83,5,550,10,28000
015e652da4f31f2f7a051a6de66094c0,2,700,12,4576
015ec57b45a4c3efc70288eb133d623a,1,750,12,2016
0160785b697a5ea87d52949bd097ce05,3,14000,7,78936
0164201c7c8b81dc5779e015e2d7be59,2,600,18,4800
016711f78a6a87696645db0a6a834826,19,1150,11,23166
016809bbae76f284266dcffcbb12480b,1,600,16,10000
0168e1b28d8e55a515928cf656eff0a4,1,950,18,7942
016cae136d358dcdacbd7ac9f1864c09,5,300,18,3000
016f3b29107ed03252e477b08445cec4,1,3500,9,3125
0174eb125f49a617bd9c6277e5aa76a9,1,250,6,5967
0176300ac9900e260f35fbddd71c6d92,1,200,24,5508
0176bf7839ab4e611dc01cdc3ef6f4e4,8,1600,12,27588
017e8dcb2e1a468d46e6e80fd694c5ec,1,1150,8,23100
0182796b487918d688ba48cf3a0d1bf4,1,2300,11,27588
0182db9fc95fd36e324e8a4c40c0819a,1,2400,13,10500
01849445c151d94a1f0cfff03c9ed154,1,1200,7,8364
0185e6719ca5c224fc53853997fa3f68,1,1600,13,21000
0185f302dc17abf603edfe7929a0120a,1,10600,10,14664
018ca97302e4293050cc41413194bb19,1,2467,3,17472
0192191cc1bc83262d6667c54c2e048f,2,850,19,8712
0193fc18d9a6e9b9b0b3a41768fefa12,2,500,9,6318
01948c8dbac93beb665f136bccd530d8,1,550,25,12000
0198a991deae439205851e71a7b0bdf7,1,12600,13,43808
019d8b8866a5555ac955b45ffd35e039,1,1400,4,6300
01a0f7d0d081d619be810e512be45f97,1,4517,26,33915
01a2ad2b54cd734f78cb817da7752d8b,1,430,7,3192
01a5038835acf17f141c7247956b72d6,4,1350,6,7616
01a52711e989a817ab8100ddcf8d2940,1,1500,4,6160
01a630ec9b9f9387e5a91c1f83bd209b,1,300,20,5616
01a88bd2633c52bcc66348307cb3ae15,2,11800,8,70699
01a900ffd5609ad754c38f9dcbce8c6d,1,700,10,17500
01a9707790aab6855a6438b92c4c396b,1,400,6,3840
01af6a4592d74b6d41ceeede0bd8b417,1,6600,16,39375
01b0238705b6ae8e35c6fea837e6ae4a,1,900,11,880
01b660ebc1a0c293ccf9b117fa6dd8bb,1,350,6,9000
01b864cf36d60d972e2e29d8c5084d64,1,2400,8,16632
01bc2a3c12d6e588aecb54ffad194c13,2,4350,17,8000
01c2e91674406ebaca6a1bbf7f61c3f0,1,600,6,5888
01c9a70868bec5b748c67fcc26ce5895,16,750,12,15300
01caf54032309b518a584331b8a673f6,1,800,4,14720
01cb96c64e8e35f29826a58963f6ecc5,1,7100,10,42527
01cdc6fbdb39fc792bb4c40164ce2331,1,7050,46,16728
01cf56cd6138b926a4802d16fc304149,6,100,12,4096
