Product,Purchases,"Average price"
4244733e06e7ecb4970a6e2683c13e61,9,59.23
c777355d18b72b67abbeef9df44fd0fd,3,199.00
7634da152a4610f1595efa32f14722fc,2,12.99
ac6c3623068f30de03045865e4e10089,11,202.63
ef92defde845ab8450f9d70c526ef70f,5,21.90
557d850972a7d6f792fd18ae1400d9b6,1,810.00
99a4788cb24856965c36a24e339b6058,477,88.15
368c6c730842d78016ad823897a372db,388,54.27
8cab8abac59158715e0d70a36c807415,2,99.90
4fa33915031a8cde03dd0d3e8fb27f01,15,145.67
b50c950aba0dcead2c48032a690ce817,4,99.00
5ed9eaf534f6936b51d0b6c5e4d5c2e9,21,24.98
21b1c2f67a9aafb5af0eb06c13b9dbda,4,227.40
c389f712c4b4510bc997cee93e8b1a28,8,286.50
89321f94e35fc6d7903d36f74e351d40,119,28.37
38afdf723b95d455b418a0f57d623c6b,4,119.90
672e757f331900b9deea127a2a7b79fd,17,405.00
28b4eced95a52d9c437a4caf9d311b95,21,59.90
e95ee6822b66ac6058e2e4aff656071a,11,21.51
b10eba910a974df70b8a12d0665cdb9e,10,38.90
fe59a1e006df3ac42bf0ceb876d70969,12,762.01
0b0172eb0fd18479d29c3bc122c058c2,16,25.27
dbb67791e405873b259e4656bf971246,86,79.44
84f456958365164420cfc80fbe4c7fab,108,92.93
30c01cc81c9eb80469371743813789cc,1,38.33
777d2e438a1b645f3aec9bd57e92672c,92,69.87
884fa3cd42986ba480ea2f8ae4e25ff7,4,195.00
bdcf6a834e8faa30dac3886c7a58e92e,30,37.37
13fcfc313dfb2217e5ee3000a702f9ef,2,74.90
18901878788fec7ddc55e64d1ace8187,2,149.90
fe077ec80df6b4ee60bb4498d5ab1962,33,136.27
430d215740da7fdda91cc938f8fd92f6,7,104.14
892832da5b05b0f54578e1f14f193c22,3,165.67
6490b9f63b0b595e1c1402b46b0f50ad,14,279.98
71c89e9d8fa274b017279aa322cd0e19,4,44.90
7614c62b86a81021243e438cfde78ccc,15,502.63
c2ece64199af7a53793ed9612a89a8cd,35,83.08
a6f449f6257f26e556013151cee46b4b,1,99.90
97c58626cc3e15d514d2095f69650220,2,155.00
