Product,Purchases,"Average Delivery Time (Days)","Product Name Length","Product Description Length","Product Photo Quantity"
00088930e925c41fd95ebfe695fd2655,1,11,56,752,4
0009406fd7479715e4bef61dd91f2462,1,15,50,266,2
000b8f95fcb9e0096488278317764d19,2,7,25,364,3
000d9be29b5207b54e86aa1b1ac54872,1,7,48,613,4
00126f27c813603687e6ce486d909d01,2,13,42,2461,1
001b237c0e9bb435f2e54071129237e9,1,7,42,253,1
00210e41887c2a8ef9f791ebc780cc36,7,5,56,3893,6
002159fe700ed3521f46cfcf6e941c76,7,21,55,344,3
00250175f79f584c14ab5cecd80553cd,11,8,53,631,2
002552c0663708129c0019cc97552d7d,1,8,18,263,1
002959d7a0b0990fe2d69988affcbc80,1,16,54,1750,3
002d4ea7c04739c130bb74d7e7cd1694,1,27,59,1295,1
0030e635639c898b323826589761cf23,2,14,40,437,1
003938452c98ff9ab28e9e7b4bfe97ab,1,3,52,420,2
003962cb74a8b43cf1034fed541a76f0,1,13,55,214,1
003a31970fea14fffe92ac856b8a9b97,3,18,55,900,4
003dbcabcf8e3231de657c7d9f9a5eba,2,11,43,1213,1
004154251837f6ac124ad4374b3a8148,1,8,51,1470,3
0042f1a9a7e0edd1400c6cd0fda065f8,1,4,60,1883,3
0043c62d00db47eff6a6bc4cf6bfaeda,1,14,36,1105,1
0044d70d4e53450c0fbb8255446a797b,1,13,51,695,1
004636c889c7c3dad6631f136b7fa082,4,4,46,647,1
004ffcbfa5aac82212a95bc972ea8a85,1,15,44,776,2
005c6b24cc96dca3e2c01e824401030e,1,11,33,384,1
00636f9286f69c9f1bdabe76e670fb50,2,15,60,382,1
006508eabcc19ae52ed87323124ad0e9,1,6,50,984,2
006619bbed68b000c8ba3f8725d5409e,1,7,45,569,1
006c67546bfe73c33b83f6bd1ad58c36,1,15,59,703,6
00716e5593e8eea55dbe7a29b72a70bc,1,19,49,326,1
00738f5a17ec4450e88915357b085c1e,1,9,37,670,2
0075c14603d80515e20908c156ceb47b,2,9,50,329,2
007c63ae4b346920756b5adcad8095de,6,12,48,808,1
0081787b18cce4acc2d1adec4520d7ba,1,11,56,841,1
0085dddda27567189f1dfd1eda7c286e,1,12,58,593,1
008686d56f4c85b987a4c24a286834c1,1,28,44,216,1
008b51e6be49ee039854b5e35c331b02,1,25,57,676,2
008cff0e5792219fae03e570f980b330,22,12,59,1735,5
00917855135d67fb060dcd81863166a4,1,12,55,197,1
0091d85023824de2d33252310c952307,2,9,39,169,4
0092a9e1c8a471753ed7ffa7eef5086e,3,9,48,1411,1
00989337a1916a0055eedd1fdb35eb53,2,16,55,373,1
009c09f439988bc06a93d6b8186dce73,1,9,39,991,3
00aa70fd749f3b9ce8ca4bc914a9e7b1,2,22,26,345,1
00b264091d1c8df03976c3f3b176b35c,1,8,59,351,2
00b4155166f994ba9da3cf001eb80505,1,4,53,786,4
00b782074a5ec523bf31951b4935d572,1,12,57,319,2
00ba6d766f0b1d7b78a5ce3e1e033263,16,8,52,418,1
